#HashTags,User,Location,Devices,Tweet,Favourites,Followers count,isVerifiedUser,Retweet Count
['Oscar'],TinStarGames1,"Unwins Bridge Road, Tempe NSW,","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @VVFriedman: Kristen Stewart, also breaking some #Oscar red carpet rules. No mermaid dresses! No princess frocks! It's about time. https…",4100,520,FALSE,0
[],lrodmakeup,"New York New York, ","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","The Best Jewelry from the 2022 Oscars
Diamonds were certainly the stars' best friends—but so were sapphires, emeral… https://t.co/21D93yldiL",1133,365,FALSE,0
['Oscar'],shoresems,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Love her #Oscar https://t.co/5gj4ZqTA3Q,2952,302,FALSE,0
['Oscar'],thinkbri,19/ucla/⚢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @VVFriedman: Kristen Stewart, also breaking some #Oscar red carpet rules. No mermaid dresses! No princess frocks! It's about time. https…",71844,438,FALSE,0
"['Oscar', 'Encanto']",tfiwppl,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @pepa_madrigall: The Team Encanto
#Oscar #Encanto https://t.co/ofQmwtGptD",4305,3,FALSE,0
['Oscar'],TWlNFLAMEBRUlSE,Canada,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @callfireandice: SABRINA CARPENTER HAS ARRIVED #Oscar https://t.co/99eKA0zTPH,40068,332,FALSE,0
['Oscar'],94FetusHrry,zm ; she,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @safefortimmy: he served #Oscar https://t.co/8KCTefK7I5,41423,749,FALSE,0
"['Oscar', 'AcademyAwards']",planofdissent,"moon she 18 blasian 🇯🇲 
ceo of fives","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @C4STAMERE: Ramin Djawadi has won the Best Original Score #Oscar Award for ‘ETERNALS’ at the #AcademyAwards. https://t.co/PekablvvMa,218877,3743,FALSE,0
['Oscar'],emmatraits,gilmore girls,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @safefortimmy: timothée chalamet being an icon as he damn should #Oscar https://t.co/dncKXGkZe8,17781,983,FALSE,0
['Oscar'],CRYINGSROYALS,she / 18 ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",i cant breathe she looks so uninterested with every celeb so far what is this 😭 #Oscar https://t.co/CD4CV8vwvr,11330,1101,FALSE,0
[],styweasley,•ela/ele•,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",A BILLIE LINDA,2196,1754,FALSE,0
['Oscar'],yokihluv,She/her | 19 | nfsw,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",she’s a doll #Oscar https://t.co/oDPftmHcn5,13534,659,FALSE,0
['Oscar'],kaylalyzette,home,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @klaizzie: the timmy tibbies are out tonight #Oscar https://t.co/SAbehNndK0,407,7,FALSE,0
['Oscar'],Mann_Pub,"New York, NY","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Best Actor Nominee Will Smith with his wife Jada Pinkett Smith wearing custom @JPGaultier #Oscar https://t.co/LkgRM3yUBK,803,1215,FALSE,0
['Oscar'],cshbur,@deeeejesus,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @21metgala: Zendaya attends the 94th #Oscar https://t.co/lfuiAZZGsh,78055,6419,FALSE,0
