#HashTags,User,Location,Devices,Tweet,Favourites,Followers count,isVerifiedUser,Retweet Count
['Oscar'],DlYAMlN,white   they/she/he,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @EuphoriaHBONews: SLAY QUEEN!!!!!!!! 😍😍😍😍😍😍😍😍 #Oscar https://t.co/itsoX0dg0B,69050,110,FALSE,0
['Oscar'],gracesullie_,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @JamieTheBat_: Robert Pattison has ARRIVED!
#Oscar https://t.co/F7tRq0EGxd",28853,249,FALSE,0
"['Oscar', 'Oscars2022']",lilyshoochou425,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @Lulamaybelle: #Oscar nominee Kristen Stewart has arrived! #Oscars2022 https://t.co/UoaLcp2l6Q,19721,100,FALSE,0
[],Kanyo_M,"Gaborone, Botswana","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Frame 2....maybe I'm biased but its just falling flat....,47132,8518,FALSE,0
"['Oscars', 'Oscar']",cvroljnx,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @crocinoo: LORD HAVE MERCY, WE MUST STAY FOCUS BRO WE MUST STAY FOCUS #Oscars #Oscar https://t.co/ry2i9nUgHg",68516,1287,FALSE,0
['Oscar'],Taylorree,Canada ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @LOVEROFPALLOM: TIMOTHEE CHALAMET AND ANDREW GARFIELD EVERYONE #Oscar https://t.co/fgwIgtsVWP,3969,70,FALSE,0
['Oscar'],trojanchick99,"California, USA","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",What a look! Head to tow perfect. #Oscar https://t.co/FxzfboPQs9,17539,546,FALSE,0
['Oscar'],romi_sabia,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @LOVEROFPALLOM: TIMOTHEE CHALAMET AND ANDREW GARFIELD EVERYONE #Oscar https://t.co/fgwIgtsVWP,3990,41,FALSE,0
[],ianaroTheCorgi,Comms open! Just ask.,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",She's dressed like MC Ianaro which is f*cking hilarious to me.,10911,590,FALSE,0
['Oscar'],callme_mcooper,Mexico,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Ok but where is my Kristen Stewart #Oscar,106610,1321,FALSE,0
['Oscar'],BTSBLACKPINK5H,"buenos aires, argentina","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @comfortrobt: he arrived omg #Oscar https://t.co/MX8keQdjMi,205179,2111,FALSE,0
['Oscar'],MOVIEDEATHBLOWS,"Philadelphia, PA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Usually around this time of year I’m in full #Oscar mode, but tbh last years shows was horrendous, and I don’t give… https://t.co/Ode4KV1LwT",937,142597,FALSE,0
['Oscar'],Make_TASM3,Afganistán,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @heroichollywood: Retweet if you think Andrew should win! #Oscar https://t.co/8FHyu6whSS,5849,33,FALSE,0
[],soraivs,she/her | 20 | poc,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",deserved,1733,239,FALSE,0
['Oscar'],venux88,"Puebla, México","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @EuphoriaHBONews: Zendaya attends the 94th Oscars at the Dolby Theatre in Hollywood! #Oscar https://t.co/LRhVnbfesO,5337,50,FALSE,0
['Oscar'],Katnissa7193,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @LOVEROFPALLOM: TIMOTHEE CHALAMET AND ANDREW GARFIELD EVERYONE #Oscar https://t.co/fgwIgtsVWP,3056,3,FALSE,0
['Oscar'],SoumDesigns,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @eunoia_mari: This is going to be worst Oscar😂 wtf is happening on red carpet? Where are A list celebrities?  #Oscar https://t.co/2s8SZg…,14164,150,FALSE,0
['oscar'],picnicacuna,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @a1andar: kelly mantle has just arrived to the 2022 #oscar red carpet 🤩 https://t.co/T5SX3uCgRI,20405,12,FALSE,0
['Oscar'],swiftnmarvel,España,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @spideysnews: More of Zendaya &amp; Andrew Garfield at the 2022 #Oscar ’s!
 https://t.co/UD8f5mdlOr",3922,531,FALSE,0
['Oscar'],aleOdette,El Salvador ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @eunoia_mari: This is going to be worst Oscar😂 wtf is happening on red carpet? Where are A list celebrities?  #Oscar https://t.co/2s8SZg…,18367,1788,FALSE,0
['Oscar'],jadeyjud,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @IndieWire: Timothée Chalamet is here and #Oscar ready! https://t.co/SoPjvhZToF,148,15,FALSE,0
['Oscar'],Mann_Pub,"New York, NY","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",.@Zendaya styled by @LUXURYLAW #Oscar https://t.co/EdJ7HIdyYI,803,1215,FALSE,0
['Oscar'],larryxdrarry,"Camp Nou, Barcelona • she/her","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @FCBarcelona: 🍿 Our third #Oscar nominee is … 𝗞𝗜𝗡𝗚 𝗠𝗘𝗠𝗣𝗛𝗜𝗦 🦁

⭐ Starring: @Memphis https://t.co/7DZFtESZZg",87398,6382,FALSE,0
['Oscar'],yunqkth,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @IndieWire: Timothée Chalamet is here and #Oscar ready! https://t.co/SoPjvhZToF,51006,483,FALSE,0
['Oscar'],slovesik,Indonesia she/her,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @DiscussingFilm: ‘DUNE’ has won the first #Oscar of the night.

See the full winners list: https://t.co/LAXthSkgVl https://t.co/Q9Bwtqny…",31851,1248,FALSE,0
"['Oscars2022', 'Oscar']",CodeDebYT,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Maddie Ziegler is at the #Oscars2022 #Oscar,29767,372,FALSE,0
['Oscar'],chaffee1016,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @LightsCameraPod: This moment after Leonardo DiCaprio won his first #Oscar was priceless.

“You do this every year? I wouldn't know!"" ht…",76884,722,FALSE,0
[],VoltySquirrel,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Well deserved.,35142,681,FALSE,0
['oscar'],nikitalaminaja,Chipiona-Granada-Edimburgo,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @a1andar: kelly mantle has just arrived to the 2022 #oscar red carpet 🤩 https://t.co/T5SX3uCgRI,141015,460,FALSE,0
['Oscar'],aydengeighjones,dakota’s green kitchen,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @catttiiaaa: me critiquing ever #Oscar outfit https://t.co/6FgHHhJOkJ,13866,55,FALSE,0
"['Oscars', 'Oscar']",barnsgf,SebastianJamesBarry love bot♡︎,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @crocinoo: LORD HAVE MERCY, WE MUST STAY FOCUS BRO WE MUST STAY FOCUS #Oscars #Oscar https://t.co/ry2i9nUgHg",42218,272,FALSE,0
"['AndrewGarfield', 'TickTickBoom']",ReelHeART,EST,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Could #AndrewGarfield be any more generous and supportive to his #TickTickBoom co-star @VanessaHudgens while they c… https://t.co/V9W2NBNV7p,3056,2154,FALSE,0
['Fleemovie'],wrcommission,"NY, DC","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Participant @TheAcademy @neonrated Crossing fingers, but you are already winners in our eyes. #Fleemovie reminds a… https://t.co/osoFI9c4aT",5435,23876,FALSE,0
['Oscar'],sharrod717,"harrisburg,pa","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @pinatafarms: Chloe and Halle Bailey supremacy at the #Oscar https://t.co/xvc1x5sFnf,268577,1029,FALSE,0
['Oscar'],_MorganKD,"Atlanta, GA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @Fabulousity201: If the girls insist on wearing black, Schiaparelli was available. #Oscar https://t.co/qyqEe7ts5B",278048,1686,FALSE,0
['Oscar'],Nightlyraee,She/blck,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DiscussingFilm: ‘DUNE’ has won the first #Oscar of the night.

See the full winners list: https://t.co/LAXthSkgVl https://t.co/Q9Bwtqny…",11889,118,FALSE,0
['Oscar'],_zendayaxlovxr,Non Da Uno Psicologo,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JAKEEEEEEE #Oscar https://t.co/AV6kKq2AVx,417,485,FALSE,0
['Oscar'],sxweetchild,she/her,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","finally out the photo of kate 
walsh on the red carpet. #Oscar https://t.co/yNKTFxp47B",3505,2980,FALSE,0
['Oscar'],slvmpedxox,| 15 | she/her | black |,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","andrew, kristen, jessica, nicole, kirsten, ariana &amp; troy i am rooting for you guys
#Oscar",101,9,FALSE,0
['Oscars'],KiraJW,Midwest,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","*sighs* Oh, honey, no.  #Oscars",63109,1480,FALSE,0
['Oscar'],phsonodaa,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @LOVEROFPALLOM: TIMOTHEE CHALAMET AND ANDREW GARFIELD EVERYONE #Oscar https://t.co/fgwIgtsVWP,1697,33,FALSE,0
"['BeyOscars', 'Oscar', 'Oscars']",SupremeQueenBey,"Barcelona, España","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ok ok the red carpet and these people are very good but, when does the Beyoncé concert start? 🤷🏻‍♂️😂 #BeyOscars #Oscar #Oscars",36121,11952,FALSE,0
['Oscar'],angeliefields,Southern California,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @LOVEROFPALLOM: THIS IS EVERYTHING I WANTED!!!!#Oscar https://t.co/bAwNajRbb0,12000,42,FALSE,0
"['Oscar', 'Oscars2022']",beesaints_,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BEYONCÉ WHERE THE F ARE YOU 
#Oscar #Oscars2022 https://t.co/Pka85OlvLH",2497,14,FALSE,0
"['Oscar', 'Oscar2022']",crimsondianxia,ketterdam ,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @thesebbazz: It's a andrew garfield thing ✌️✌️✌️✌️

#Oscar #Oscar2022 https://t.co/wsTQGZj1OL",78466,404,FALSE,0
"['SundayFunday', 'Oscar']",MikeSav92661508,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @MikeSav92661508: This is a cheap liquor #SundayFunday #Oscar https://t.co/6TFli8fkhH,3186,115,FALSE,0
"['Oscar2022', 'Oscar', 'Oscars']",marytudela92,España,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @SensaCine: Simplemente, Andrew Garfield ❤ #Oscar2022 #Oscar #Oscars https://t.co/UdM8D0EWCt",149053,235,FALSE,0
['Oscar'],agmguada,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @liholovesloki: LA SCHIENA I’M LOOKING RESPECTFULLY #Oscar https://t.co/noTMaHlrZy,3143,303,FALSE,0
['Oscar'],shorttyMCU,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @honest_papi: Me judging these #Oscar looks: https://t.co/nKduI2iPoN,88314,144,FALSE,0
"['teachers', 'librarians']",MrsPstorytime,Everywhere,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","For the Academy Awards tonight, I have a pre-show shout out to all the #teachers and #librarians who read aloud, do… https://t.co/OZhfiM27VP",18796,7278,FALSE,0
['Oscar'],ehihaveaniceday,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @iamsophia_19: Leave me alone...I'm in my feels #Oscar https://t.co/vzIOZeWDpa,38035,368,FALSE,0
['Oscar'],3mmaroberts,wallace university ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @21metgala: Venus Williams and Serena Williams attend the 94th #Oscar https://t.co/x3Yq94VkTV,38104,1098,FALSE,0
['Oscar'],chlmtsgf,she 16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DiscussingFilm: ‘DUNE’ has won the first #Oscar of the night.

See the full winners list: https://t.co/LAXthSkgVl https://t.co/Q9Bwtqny…",68096,546,FALSE,0
[],__nca,Brighton,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",She'd better bloody win!,203199,7729,FALSE,0
[],Smarter21905829,Skull Island,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","As soon as all the boomers are gone, gen x is going to take everything they gave to their no good millennial kids.",4515,218,FALSE,0
"['RedCarpet', 'Oscar', 'Oscars2022']",CurrentGilmore,Sores and Boils alley,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Live footage of me criticizing every outfit, accessory and hairstyle on the #RedCarpet of the #Oscar #Oscars2022… https://t.co/yb0xGC3EAh",4288,1108,FALSE,0
"['Oscars2022', 'Oscar']",sweeitpeach,She/her     ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",OH nothing just my new necklace   #Oscars2022   #Oscar https://t.co/03uJpUJb4O,84354,703,FALSE,0
['Oscar'],guiiiru,XX,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TAYLOR SWIFT AND JOE ALWYN OMGGGGGG WTF #Oscar https://t.co/zObhZt5gkL,1633,27,FALSE,0
['Oscar'],purple__hobbit,"Rapallo, Italy","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @iamsophia_19: Leave me alone...I'm in my feels #Oscar https://t.co/vzIOZeWDpa,12378,78,FALSE,0
"['Oscar', 'OscarNoms']",aannnnst,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @BenedictDailyPL: Benedict Cumberbatch 
&amp; Andrew Garfield 
#Oscar 
#OscarNoms https://t.co/jhzIJBer2j",13823,111,FALSE,0
['Oscar'],ChalametTrix,hogwarts 💚,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @LOVEROFPALLOM: TIMOTHEE CHALAMET AND ANDREW GARFIELD EVERYONE #Oscar https://t.co/fgwIgtsVWP,1346,39,FALSE,0
"['Oscar', 'Oscars2022']",Nonnie_Linda,USA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @HelloCanada: Loooove this! Judi Dench brought her grandson Sam Williams to the Oscars with her #Oscar #Oscars2022 https://t.co/oxl0ZmVl…,151251,2545,FALSE,0
['Oscar'],offst4rk,she / her,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DiscussingFilm: ‘DUNE’ has won the first #Oscar of the night.

See the full winners list: https://t.co/LAXthSkgVl https://t.co/Q9Bwtqny…",32598,1236,FALSE,0
"['Oscar', 'Oscars2022']",thesweetestcyn_,Chicago,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ystylesl: ZENDAYA DID NOT COME TO PLAY
#Oscar #Oscars2022 https://t.co/4F8ddcupBI",33747,1188,FALSE,0
['Oscar'],scarlettwittch,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ZENDAYA— I GASPED AND FELL TO MY KNEES 

#Oscar https://t.co/jk1pPmPJD8",9576,333,FALSE,0
['Oscar'],T2017bp,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @VVFriedman: Kristen Stewart, also breaking some #Oscar red carpet rules. No mermaid dresses! No princess frocks! It's about time. https…",4064,530,FALSE,0
[],natbelovs,natasha romanoff’s gf,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",please come home the kids miss you,195079,5597,FALSE,0
['Oscar'],yoloboyd02,Vengeance 🦇,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DiscussingFilm: ‘DUNE’ has won the first #Oscar of the night.

See the full winners list: https://t.co/LAXthSkgVl https://t.co/Q9Bwtqny…",143241,2259,FALSE,0
"['Oscars2022', 'BestPicture', 'Jaws', 'LicoricePizza', 'Oscar', 'AcademyAwards']",SigrestTodd,"Mississippi, USA","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @thedailyjaws: #Oscars2022 #BestPicture as told through #Jaws.
#LicoricePizza #Oscar #AcademyAwards https://t.co/B67SYkDE93",38965,511,FALSE,0
['Oscar'],and_you0820,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @andrewthinker: TONIGHT IS YOUR NIGHT, MY LOVE! 

(video by @RaminSetoodeh) #Oscar https://t.co/zf882oqVA4",4032,0,FALSE,0
[],Rnooodh1313,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @KTLA: 'King Richard' star @SaniyyaSidney says she thinks Joe Alwyn is ""the one"" for @taylorswift13 after seeing them at the CAA Pre- #O…",2479,9,FALSE,0
['CODAfilm'],ttowndoc,Oregon Ohio,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#CODAfilm is a comedy-drama film, it stars Emilia Jones as the eponymous CODA (child of deaf adults), the only hear… https://t.co/GBainHpZMG",2545,189,FALSE,0
['Oscar'],malefabtqsyy,Req ok ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @billieethinker: the queen arrived #Oscar https://t.co/HZzLdtCLTw,4313,68,FALSE,0
['Oscar'],Chalant215,Blüdhaven,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @DiscussingFilm: ‘DUNE’ has won the first #Oscar of the night.

See the full winners list: https://t.co/LAXthSkgVl https://t.co/Q9Bwtqny…",306,1,FALSE,0
['Oscar'],thrvnduiIs,•she/her•19•mixedblack• ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DiscussingFilm: ‘DUNE’ has won the first #Oscar of the night.

See the full winners list: https://t.co/LAXthSkgVl https://t.co/Q9Bwtqny…",31622,2095,FALSE,0
[],Nightlyraee,She/blck,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",And BOOM,11889,118,FALSE,0
['Oscar'],Daddy_Rauhl,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @IndieWire: Timothée Chalamet is here and #Oscar ready! https://t.co/SoPjvhZToF,8305,107,FALSE,0
[],lukastyle,New York City /Jersey Shore,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",So funny sewed christie brinkley in her lace dolce &amp; gabanna once with two water pills in her. She was not able to… https://t.co/5jpunQlQ2R,46872,1763,FALSE,0
['Oscar'],fairyflakesx,"Düsseldorf, Germany","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @billieethinker: the queen arrived #Oscar https://t.co/HZzLdtCLTw,1755,48,FALSE,0
['Oscar'],mustachrryygf,9/22/21 + 2/24/22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @comfortrobt: he arrived omg #Oscar https://t.co/MX8keQdjMi,50412,633,FALSE,0
['Oscar'],___MXNSX___,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @patry_reggiani: I’m here bitches #Oscar https://t.co/ikdzjbqgTD,107058,863,FALSE,0
['Oscar'],familia_twibr,Rio de Janeiro-Brasil,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @VVFriedman: Kristen Stewart, also breaking some #Oscar red carpet rules. No mermaid dresses! No princess frocks! It's about time. https…",2182,6054,FALSE,0
['Oscar'],Solobabbani,22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @safefortimmy: #Oscar details. https://t.co/nptvz9q3Xz,35365,3732,FALSE,0
['oscar'],_KevinHndz,El Salvador.,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @elordifiles: jacob elordi looks so fine #oscar https://t.co/ZrhLK6satb,132820,1044,FALSE,0
['Oscar'],kikalagofonte,probably out of my mind ,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @WandaMX20: She’s already bored. 💀 #Oscar https://t.co/9v99g3eT1t,27565,190,FALSE,0
['Oscar'],padfootbry,12 Grimmauld Place,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","being an andrew garfield and kristen stewar stan is an unique experience this year
#Oscar",30992,674,FALSE,0
['Oscar'],tara_violet,"Los Angeles, CA","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @christylemire: In all the time they're wasting with these inane #Oscar pre-show gags and bits and regular-person interactions that add…,158383,1498,FALSE,0
['Oscar'],twiterswindler,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",The second Jada leaves Will be like #Oscar https://t.co/nwI96YInDX,130,7,FALSE,0
[],gaslygrf,monza ,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",basic white bitch,1666,118,FALSE,0
['Oscar'],YoureStillFat,"New York, NY","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tracee ellis ross and ariana debose both sporting color-coordinated pasties #Oscar https://t.co/ocrMelp8wv,4610,286,FALSE,0
['Oscar'],todayis_taetae,19 ♡ she/they,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @LOVEROFPALLOM: THIS IS EVERYTHING I WANTED!!!!#Oscar https://t.co/bAwNajRbb0,98956,207,FALSE,0
['Oscar'],ggoldentaylorr,16 ~ she/her ~ bi,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @LOVEROFPALLOM: TIMOTHEE CHALAMET AND ANDREW GARFIELD EVERYONE #Oscar https://t.co/fgwIgtsVWP,3678,32,FALSE,0
['Oscar'],meyhollander,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DiscussingFilm: ‘DUNE’ has won the first #Oscar of the night.

See the full winners list: https://t.co/LAXthSkgVl https://t.co/Q9Bwtqny…",2105,485,FALSE,0
['Oscar'],outoforderali,"Cairo, Egypt","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @MovingImageNYC: ✨The stars are all here.✨ #Oscar https://t.co/tPGEVG3QBP,21441,163,FALSE,0
['Oscar'],macarena_wonder,Chile,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @spideysnews: More of Zendaya &amp; Andrew Garfield at the 2022 #Oscar ’s!
 https://t.co/UD8f5mdlOr",40732,392,FALSE,0
"['USAvPAN', 'Oscar']",yokrista,NYC,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","As a @USMNT @ussoccer and film fan, I AM READY. #USAvPAN #Oscar https://t.co/SldPrapg9x",745,206,FALSE,0
"['Oscar', 'Oscars2022']",joevanknee_,"Venezia, Italy","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","This close 👌🏻 to seeing Kristen Stewart in white socks and Vans walking on the red carpet

#Oscar #Oscars2022",201,7,FALSE,0
"['DUNE', 'Oscar']",RyanRabideau1,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @PNemiroff: Best Sound goes to #DUNE!

Huge congrats to Mac Ruth, Mark Mangini, Theo Green, Doug Hemphill and Ron Bartlett! 

#Oscar #Os…",12594,45,FALSE,0
['Oscar'],astraeatitania,"25, she/her/blm/freepalestine","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @DiscussingFilm: ‘DUNE’ has won the first #Oscar of the night.

See the full winners list: https://t.co/LAXthSkgVl https://t.co/Q9Bwtqny…",122146,2929,FALSE,0
['Oscar'],gowonkimlip,"24 ~ white, hispanic ~ he/him","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @mryllstrp: Meryl Streep at the #Oscar https://t.co/QPwJKvlNjT,130625,730,FALSE,0
['Oscar'],soundslikerain_,𝚜𝚑𝚎/𝚑𝚎/𝚝𝚑𝚎𝚢,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @anthunesarth: Venus Williams no tapete vermelho do Oscar 2022. #Oscar 

(Foto: Getty Images / Too Fab) https://t.co/nGZ3VGVkHy",5848,64,FALSE,0
['Oscar'],irishman3370,New Orleans,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ArthShahverdyan: Me judging  #Oscar looks while sitting at home with 38 dollars in my checking account: https://t.co/9l9iqFQRsh,12826,196,FALSE,0
['Oscar'],azg0406,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @bernatviktoria: TIMOTHÉE CHALAMET JUST FUCKING MURDERED ME WHAT #Oscar https://t.co/aMuT5XuU7Q,42318,156,FALSE,0
['Oscar'],Indecisive_F,United Kingdom,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @VVFriedman: Kristen Stewart, also breaking some #Oscar red carpet rules. No mermaid dresses! No princess frocks! It's about time. https…",1851,203,FALSE,0
[],ifetalksback,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","For someone who is almost definitely going to win this is a WILD look to go for 

Naa the stylists hate every singl… https://t.co/CyDMnw82WV",32284,3500,FALSE,0
['Oscar'],BuryMeInQueens,"Queens, Babyyyy! 🗽","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @MovingImageNYC: ✨The stars are all here.✨ #Oscar https://t.co/tPGEVG3QBP,54645,110,FALSE,0
